line_item_id,transaction_id,transaction_date,customer_id,store_id,store_name,product_id,item_name,category,supplier_id,supplier_name,quantity,price,discount,total_price,payment_method_id,payment_method,cashier_id,promo_flag
LI0000001,T00001,2025-11-01,C30641,IM001,INDOMARET LATIGO SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,4,3500,2100,11900,PM04,OVO,L001,1
LI0000002,T00001,2025-11-01,C30641,IM001,INDOMARET LATIGO SQUARE,P006,Aqua 1.5L,Beverage,SUP002,Danone,5,7000,5250,29750,PM04,OVO,L001,1
LI0000003,T00001,2025-11-01,C30641,IM001,INDOMARET LATIGO SQUARE,P001,Indomie Goreng,Food,SUP001,Indofood,1,3500,350,3150,PM04,OVO,L001,1
LI0000004,T00001,2025-11-01,C30641,IM001,INDOMARET LATIGO SQUARE,P006,Aqua 1.5L,Beverage,SUP002,Danone,1,7000,1050,5950,PM04,OVO,L001,1
LI0000005,T00002,2025-11-01,C34231,IM001,INDOMARET LATIGO SQUARE,P001,Indomie Goreng,Food,SUP001,Indofood,4,3500,1400,12600,PM01,Cash,L002,1
LI0000006,T00002,2025-11-01,C34231,IM001,INDOMARET LATIGO SQUARE,P004,Bimoli Minyak Goreng 1L,Food,SUP001,Indofood,1,25000,2500,22500,PM01,Cash,L002,1
LI0000007,T00002,2025-11-01,C34231,IM001,INDOMARET LATIGO SQUARE,P005,Aqua 600ml,Beverage,SUP002,Danone,5,3500,2625,14875,PM01,Cash,L002,1
LI0000008,T00002,2025-11-01,C34231,IM001,INDOMARET LATIGO SQUARE,P006,Aqua 1.5L,Beverage,SUP002,Danone,3,7000,3150,17850,PM01,Cash,L002,1
LI0000009,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,5,25000,12500,112500,PM01,Cash,L003,1
LI0000010,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P002,Indomie Kari,Food,SUP001,Indofood,4,3500,1400,12600,PM01,Cash,L003,1
LI0000011,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,5,20000,5000,95000,PM01,Cash,L003,1
LI0000012,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,2,3500,1050,5950,PM01,Cash,L003,1
LI0000013,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,1,5000,1000,4000,PM01,Cash,L003,1
LI0000014,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,5,5000,3750,21250,PM01,Cash,L003,1
LI0000015,T00003,2025-11-01,C99723,IM002,INDOMARET ANIVA JUNCTION,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,1,25000,2500,22500,PM01,Cash,L003,1
LI0000016,T00004,2025-11-01,C44242,IM001,INDOMARET LATIGO SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,3,6000,3600,14400,PM04,OVO,L001,1
LI0000017,T00004,2025-11-01,C44242,IM001,INDOMARET LATIGO SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,2,4500,1350,7650,PM04,OVO,L001,1
LI0000018,T00004,2025-11-01,C44242,IM001,INDOMARET LATIGO SQUARE,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,1,5000,750,4250,PM04,OVO,L001,1
LI0000019,T00004,2025-11-01,C44242,IM001,INDOMARET LATIGO SQUARE,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,2,20000,2000,38000,PM04,OVO,L001,1
LI0000020,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P001,Indomie Goreng,Food,SUP001,Indofood,3,3500,1050,9450,PM04,OVO,L005,1
LI0000021,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,1,8000,800,7200,PM04,OVO,L005,1
LI0000022,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P005,Aqua 600ml,Beverage,SUP002,Danone,2,3500,1050,5950,PM04,OVO,L005,1
LI0000023,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,2,25000,5000,45000,PM04,OVO,L005,1
LI0000024,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,2,4500,1350,7650,PM04,OVO,L005,1
LI0000025,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P002,Indomie Kari,Food,SUP001,Indofood,1,3500,350,3150,PM04,OVO,L005,1
LI0000026,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,3,8000,2400,21600,PM04,OVO,L005,1
LI0000027,T00005,2025-11-01,C85209,IM003,INDOMARET FRESH BOSTON SQUARE,P002,Indomie Kari,Food,SUP001,Indofood,4,3500,1400,12600,PM04,OVO,L005,1
LI0000028,T00006,2025-11-01,C48094,IM002,INDOMARET ANIVA JUNCTION,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,2,25000,5000,45000,PM01,Cash,L004,1
LI0000029,T00006,2025-11-01,C48094,IM002,INDOMARET ANIVA JUNCTION,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,3,8000,2400,21600,PM01,Cash,L004,1
LI0000030,T00006,2025-11-01,C48094,IM002,INDOMARET ANIVA JUNCTION,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,3,3500,1575,8925,PM01,Cash,L004,1
LI0000031,T00006,2025-11-01,C48094,IM002,INDOMARET ANIVA JUNCTION,P004,Bimoli Minyak Goreng 1L,Food,SUP001,Indofood,2,25000,5000,45000,PM01,Cash,L004,1
LI0000032,T00006,2025-11-01,C48094,IM002,INDOMARET ANIVA JUNCTION,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,5,12000,12000,48000,PM01,Cash,L004,1
LI0000033,T00007,2025-11-01,C47380,IM003,INDOMARET FRESH BOSTON SQUARE,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,1,5000,750,4250,PM03,Credit,L006,1
LI0000034,T00007,2025-11-01,C47380,IM003,INDOMARET FRESH BOSTON SQUARE,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,3,20000,3000,57000,PM03,Credit,L006,1
LI0000035,T00007,2025-11-01,C47380,IM003,INDOMARET FRESH BOSTON SQUARE,P001,Indomie Goreng,Food,SUP001,Indofood,5,3500,1750,15750,PM03,Credit,L006,1
LI0000036,T00007,2025-11-01,C47380,IM003,INDOMARET FRESH BOSTON SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,3,5500,1650,14850,PM03,Credit,L006,1
LI0000037,T00008,2025-11-01,C85222,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,2,5000,2000,8000,PM04,OVO,L003,1
LI0000038,T00008,2025-11-01,C85222,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,4,5000,4000,16000,PM04,OVO,L003,1
LI0000039,T00008,2025-11-01,C85222,IM002,INDOMARET ANIVA JUNCTION,P009,S-Tee Lemon,Beverage,SUP004,Sosro,5,4500,3375,19125,PM04,OVO,L003,1
LI0000040,T00008,2025-11-01,C85222,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,2,3500,700,6300,PM04,OVO,L003,1
LI0000041,T00008,2025-11-01,C85222,IM002,INDOMARET ANIVA JUNCTION,P002,Indomie Kari,Food,SUP001,Indofood,5,3500,1750,15750,PM04,OVO,L003,1
LI0000042,T00008,2025-11-01,C85222,IM002,INDOMARET ANIVA JUNCTION,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,4,12000,9600,38400,PM04,OVO,L003,1
LI0000043,T00009,2025-11-01,C88609,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,4,3500,1400,12600,PM05,GoPay,L004,1
LI0000044,T00009,2025-11-01,C88609,IM002,INDOMARET ANIVA JUNCTION,P006,Aqua 1.5L,Beverage,SUP002,Danone,3,7000,3150,17850,PM05,GoPay,L004,1
LI0000045,T00009,2025-11-01,C88609,IM002,INDOMARET ANIVA JUNCTION,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,4,5000,3000,17000,PM05,GoPay,L004,1
LI0000046,T00009,2025-11-01,C88609,IM002,INDOMARET ANIVA JUNCTION,P012,Roma Marie,Candy/Snack,SUP005,Mayora,2,6000,2400,9600,PM05,GoPay,L004,1
LI0000047,T00010,2025-11-01,C43503,IM003,INDOMARET FRESH BOSTON SQUARE,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,3,25000,7500,67500,PM01,Cash,L007,1
LI0000048,T00010,2025-11-01,C43503,IM003,INDOMARET FRESH BOSTON SQUARE,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,3,25000,7500,67500,PM01,Cash,L007,1
LI0000049,T00010,2025-11-01,C43503,IM003,INDOMARET FRESH BOSTON SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,4,3500,2100,11900,PM01,Cash,L007,1
LI0000050,T00010,2025-11-01,C43503,IM003,INDOMARET FRESH BOSTON SQUARE,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,5,12000,12000,48000,PM01,Cash,L007,1
LI0000051,T00010,2025-11-01,C43503,IM003,INDOMARET FRESH BOSTON SQUARE,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,1,5000,750,4250,PM01,Cash,L007,1
LI0000052,T00010,2025-11-01,C43503,IM003,INDOMARET FRESH BOSTON SQUARE,P004,Bimoli Minyak Goreng 1L,Food,SUP001,Indofood,2,25000,5000,45000,PM01,Cash,L007,1
LI0000053,T00011,2025-11-01,C43048,IM003,INDOMARET FRESH BOSTON SQUARE,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,2,8000,1600,14400,PM04,OVO,L005,1
LI0000054,T00011,2025-11-01,C43048,IM003,INDOMARET FRESH BOSTON SQUARE,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,2,5000,2000,8000,PM04,OVO,L005,1
LI0000055,T00011,2025-11-01,C43048,IM003,INDOMARET FRESH BOSTON SQUARE,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,5,20000,5000,95000,PM04,OVO,L005,1
LI0000056,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,1,4500,675,3825,PM04,OVO,L002,1
